BSSID,Level,Room,Model,Time
c2:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:e0,-110,4,OPPO A57,2017/8/15 21:32
a8:15:4d:f5:f1:26,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:a1,-85,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9d:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:34:00,-110,4,OPPO A57,2017/8/15 21:32
28:2c:b2:fd:07:b9,-64,4,OPPO A57,2017/8/15 21:32
ec:26:ca:d6:62:39,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:81,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:35:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:84:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:21,-40,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:75:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8d:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:e0,-110,4,OPPO A57,2017/8/15 21:32
00:1e:a8:08:bc:a3,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:a1,-84,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ac:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:36:81,-110,4,OPPO A57,2017/8/15 21:32
52:a5:89:79:19:ab,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:40,-61,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d4:57,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:89:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:a0,-87,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:01,-80,4,OPPO A57,2017/8/15 21:32
dc:fe:18:58:fd:3a,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:76:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:a1,-51,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:79:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:42:20,-110,4,OPPO A57,2017/8/15 21:32
38:46:08:c9:87:0c,-70,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3d:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:a1,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3f:c0,-68,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:20,-60,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:c0,-87,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:e0,-93,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8d:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:21,-110,4,OPPO A57,2017/8/15 21:32
d4:b1:10:ac:62:41,-110,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ab:e0,-110,4,OPPO A57,2017/8/15 21:32
4c:e6:76:64:df:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:36:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:a0,-71,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a0:c1,-110,4,OPPO A57,2017/8/15 21:32
d8:c8:e9:52:da:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:81,-80,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:21,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fc:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:98:c1,-79,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:61,-61,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9d:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:60,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fd:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:21,-64,4,OPPO A57,2017/8/15 21:32
cc:34:29:6d:f3:56,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d3:b1,-63,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ac:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9f:21,-84,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:81,-110,4,OPPO A57,2017/8/15 21:32
bc:85:56:78:5b:90,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:80,-110,4,OPPO A57,2017/8/15 21:32
4c:fa:ca:1f:41:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:61,-87,4,OPPO A57,2017/8/15 21:32
88:25:93:61:65:78,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:20,-38,4,OPPO A57,2017/8/15 21:32
ac:4e:91:4b:eb:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:38:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a1:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:46:20,-63,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:39:e0,-83,4,OPPO A57,2017/8/15 21:32
00:34:cb:48:94:aa,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:60,-62,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:b5:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:20,-73,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:42:21,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:81,-110,4,OPPO A57,2017/8/15 21:32
0e:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:76:41,-110,4,OPPO A57,2017/8/15 21:32
8c:f2:28:27:62:84,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:e1,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fb:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:00,-82,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:a1,-110,4,OPPO A57,2017/8/15 21:32
8c:ab:8e:13:aa:3c,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:a0,-88,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:89:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:c1,-83,4,OPPO A57,2017/8/15 21:32
90:72:40:16:ca:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:60,-110,4,OPPO A57,2017/8/15 21:32
6e:72:e7:3f:05:1e,-110,4,OPPO A57,2017/8/15 21:32
a4:56:02:f0:35:c3,-110,4,OPPO A57,2017/8/15 21:32
c2:9f:db:e9:97:7b,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:c1,-91,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:a0,-110,4,OPPO A57,2017/8/15 21:32
0a:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
d2:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
bc:46:99:61:5b:78,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:79:60,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fb:a0,-110,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:a8:40,-110,4,OPPO A57,2017/8/15 21:32
00:71:cc:2b:d0:7f,-62,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:20,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:80,-110,4,OPPO A57,2017/8/15 21:32
c8:3a:35:49:60:44,-110,4,OPPO A57,2017/8/15 21:32
80:89:17:e8:e7:f8,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:20,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:80:5c:8c,-76,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8f:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:a0,-58,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:43:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:c0,-110,4,OPPO A57,2017/8/15 21:32
a4:56:02:f0:35:c1,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d4:3b,-50,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:60,-90,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:e1,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:4b:eb:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:31:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:60,-62,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:61,-62,4,OPPO A57,2017/8/15 21:32
12:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:95:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:72:a0,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:20,-110,4,OPPO A57,2017/8/15 21:32
78:eb:14:e7:2a:82,-73,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:a1,-93,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:41,-63,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3f:c1,-75,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:c5:2f,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:81,-68,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:c5:37,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:a0,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:31:21,-110,4,OPPO A57,2017/8/15 21:32
ec:17:2f:4a:cf:fc,-59,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:37:a0,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9f:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a1:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:75:c1,-110,4,OPPO A57,2017/8/15 21:32
d4:ee:07:01:9d:4e,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:39:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:80,-110,4,OPPO A57,2017/8/15 21:32
e2:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8d:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:a0,-87,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:46:21,-60,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:80,-68,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fc:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:21,-110,4,OPPO A57,2017/8/15 21:32
3c:46:d8:58:64:c9,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d4:38,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:98:c0,-87,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:c1,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fd:41,-110,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:a8:41,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:37:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:95:a1,-86,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8f:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:e0,-89,4,OPPO A57,2017/8/15 21:32
c2:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:e0,-110,4,OPPO A57,2017/8/15 21:32
a8:15:4d:f5:f1:26,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:a1,-83,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9d:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:34:00,-110,4,OPPO A57,2017/8/15 21:32
28:2c:b2:fd:07:b9,-57,4,OPPO A57,2017/8/15 21:32
ec:26:ca:d6:62:39,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:81,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:35:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:84:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:21,-38,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:75:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8d:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:e0,-90,4,OPPO A57,2017/8/15 21:32
00:1e:a8:08:bc:a3,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:a1,-84,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ac:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:36:81,-110,4,OPPO A57,2017/8/15 21:32
52:a5:89:79:19:ab,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:40,-57,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d4:57,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:89:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:a0,-87,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:01,-80,4,OPPO A57,2017/8/15 21:32
dc:fe:18:58:fd:3a,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:76:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:a1,-58,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:79:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:42:20,-110,4,OPPO A57,2017/8/15 21:32
38:46:08:c9:87:0c,-70,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3d:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:a1,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3f:c0,-72,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:20,-60,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:c0,-87,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8d:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:21,-110,4,OPPO A57,2017/8/15 21:32
d4:b1:10:ac:62:41,-110,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ab:e0,-110,4,OPPO A57,2017/8/15 21:32
4c:e6:76:64:df:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:36:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:a0,-71,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a0:c1,-110,4,OPPO A57,2017/8/15 21:32
d8:c8:e9:52:da:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:21,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fc:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:98:c1,-79,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:61,-61,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9d:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:60,-91,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fd:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8a:21,-64,4,OPPO A57,2017/8/15 21:32
cc:34:29:6d:f3:56,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d3:b1,-68,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:ac:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9f:21,-84,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:93:81,-110,4,OPPO A57,2017/8/15 21:32
bc:85:56:78:5b:90,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:80,-110,4,OPPO A57,2017/8/15 21:32
4c:fa:ca:1f:41:40,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9c:61,-87,4,OPPO A57,2017/8/15 21:32
88:25:93:61:65:78,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:20,-40,4,OPPO A57,2017/8/15 21:32
ac:4e:91:4b:eb:c0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:38:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a1:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:46:20,-63,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:39:e0,-83,4,OPPO A57,2017/8/15 21:32
00:34:cb:48:94:aa,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:60,-67,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:b5:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:42:21,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:81,-110,4,OPPO A57,2017/8/15 21:32
0e:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:76:41,-110,4,OPPO A57,2017/8/15 21:32
8c:f2:28:27:62:84,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:a2:e1,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fb:a1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:00,-82,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:a1,-110,4,OPPO A57,2017/8/15 21:32
8c:ab:8e:13:aa:3c,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:21,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:a0,-88,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:89:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:c1,-83,4,OPPO A57,2017/8/15 21:32
90:72:40:16:ca:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:45:60,-110,4,OPPO A57,2017/8/15 21:32
6e:72:e7:3f:05:1e,-110,4,OPPO A57,2017/8/15 21:32
a4:56:02:f0:35:c3,-110,4,OPPO A57,2017/8/15 21:32
c2:9f:db:e9:97:7b,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:c1,-91,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:a0,-110,4,OPPO A57,2017/8/15 21:32
0a:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
d2:75:d5:80:84:cd,-110,4,OPPO A57,2017/8/15 21:32
bc:46:99:61:5b:78,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:79:60,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:49:fb:a0,-89,4,OPPO A57,2017/8/15 21:32
a8:58:40:59:a8:40,-110,4,OPPO A57,2017/8/15 21:32
00:71:cc:2b:d0:7f,-62,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:61,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:74:20,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:21:80,-110,4,OPPO A57,2017/8/15 21:32
c8:3a:35:49:60:44,-110,4,OPPO A57,2017/8/15 21:32
80:89:17:e8:e7:f8,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:20,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:80:5c:8c,-76,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8f:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:90:a0,-55,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:1f:80,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:43:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:30:c0,-110,4,OPPO A57,2017/8/15 21:32
a4:56:02:f0:35:c1,-110,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:d4:3b,-52,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:71:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:99:00,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:60,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:8b:01,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:9e:e0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:e1,-80,4,OPPO A57,2017/8/15 21:32
ac:4e:91:4b:eb:c1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:31:20,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:60,-66,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:91:61,-66,4,OPPO A57,2017/8/15 21:32
12:18:d6:95:93:1e,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:95:a0,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:72:a0,-110,4,OPPO A57,2017/8/15 21:32
ac:4e:91:61:20:81,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:73:20,-110,4,OPPO A57,2017/8/15 21:32
78:eb:14:e7:2a:82,-73,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:a1,-89,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:7e:e1,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:41,-63,4,OPPO A57,2017/8/15 21:32
9c:50:ee:30:3f:c1,-67,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:c5:2f,-110,4,OPPO A57,2017/8/15 21:32
9c:50:ee:3f:92:81,-61,4,OPPO A57,2017/8/15 21:32
b0:75:d5:5f:c5:37,-110,4,OPPO A57,2017/8/15 21:32
